ants,ant
beads,bead
numbers,number
maths,math
balls,ball
colors,color
children,child
nuns,nun
monks,monk
middle ages,middle age
letters,letter
words,word
initials,initial
acronyms,acronym
crunches,crunch
muscles,muscle
intestines,intestine
aliens,alien
kids,kid
rules,rule
sports,sport
people,person
babies,baby
ethics,ethic
politics,politic
clouds,cloud
stars,star
men,man
abdominals,abdominal
gluts,glut
friends,friend
ye,yes
plants,plant
paper towels,paper towel
pads,pad
towels,towel
drugs,drug
nouns,noun
shapes,shape
lots,lot
loads,load
tons,ton
flowers,flower
resources,resource
women,woman
bruises,bruise
books,book
professors,professor
halls,hall
studies,study
grades,grade
awards,award
arts,art
pupils,pupil
sciences,science
students,student
uniforms,uniform
cars,car
manners,manner
computers,computer
shoes,shoe
earrings,earring
glasses,glass
goals,goal
tasks,task
keys,key
folds,fold
savings,saving
funds,fund
beans,bean
figures,figure
datum,data
finances,finance
statistics,statistic
hoarders,hoarder
cards,card
spades,spade
honors,honor
medals,medal
feet,foot
bones,bone
joints,joint
knees,knee
lemons,lemon
oranges,orange
pimples,pimple
spots,spot
zits,zit
scars,scar
puss,pus
teenagers,teenager
bacteria,bacterium
pu,pus
squirrels,squirrel
trees,tree
speakers,speaker
tiles,tile
things,thing
woods,wood
crops,crop
fumes,fume
gymnastics,gymnastic
tricks,trick
acrobatics,acrobatic
flips,flip
athletics,athletic
olympics,olympic
ribbons,ribbon
somersaults,somersault
tights,tight
points,point
synonyms,synonym
actors,actor
movies,movie
plays,play
lights,light
stations,station
actions,action
consequences,consequence
deeds,deed
movements,movement
reactions,reaction
acts,act
steps,step
activities,activity
motions,motion
responses,response
verbs,verb
choices,choice
doings,doing
events,event
methods,method
powers,power
games,game
lines,line
actresses,actress
players,player
performers,performer
agents,agent
celebrities,celebrity
fakers,faker
films,film
dresses,dress
facts,fact
exists,exist
degrees,degree
sales,sale
apples,apple
animals,animal
cigarettes,cigarette
meetings,meeting
pills,pill
substances,substance
habits,habit
sums,sum
les,less
others,other
e numbers,e number
chemicals,chemical
preservatives,preservative
properties,property
fingers,finger
guidelines,guideline
ados,ado
pants,pant
bosses,boss
bureaucrats,bureaucrat
leaders,leader
files,file
papers,paper
systems,system
ships,ship
tickets,ticket
bricks,brick
native americans,native american
teens,teen
hormones,hormone
years,year
parents,parent
pets,pet
kittens,kitten
cats,cat
princes,princess
jewels,jewel
clothes,clothe
decorations,decoration
accessories,accessory
glands,gland
nerves,nerve
veins,vein
ads,ad
advertisements,advertisement
commercials,commercial
billboards,billboard
products,product
adverts,advert
magazines,magazine
pop-ups,pop-up
responsibilities,responsibility
adults,adult
grown-ups,grownup
grownups,grownup
jobs,job
fleas,flea
odds,odd
outdoors,outdoor
mountains,mountain
swords,sword
boots,boot
trials,trial
problems,problem
tribulations,tribulation
adds,add
posters,poster
ideas,idea
tips,tip
cramps,cramp
aerobics,aerobic
girls,girl
sweatbands,sweatband
droplets,droplet
aesthetics,aesthetic
looks,look
visuals,visual
beers,beer
minutes,minute
times,time
affairs,affair
matters,matter
liaisons,liaison
interactions,interaction
feelings,feeling
hugs,hug
kisses,kiss
cares,caress
robots,robot
means,mean
monsters,monster
spiders,spider
aids,aid
lions,lion
blacks,black
elephants,elephant
tribes,tribe
hours,hour
stings,sting
towards,toward
backwards,backward
forewords,foreword
wrinkles,wrinkle
spies,spy
suits,suit
customs,custom
ages,age
eons,eon
eras,era
centuries,century
epochs,epoch
stages,stage
decades,decade
generations,generation
teeth,tooth
dogs,dog
grandparents,grandparent
cows,cow
farms,farm
fields,field
vegetables,vegetable
workers,worker
chips,chip
sailors,sailor
greetings,greeting
teachers,teacher
teacher's,teacher
helps,help
tools,tool
assists,assist
helpers,helper
band-aids,band-aid
assistants,assistant
sights,sight
wings,wing
marines,marine
airplanes,airplane
u,us
flights,flight
airports,airport
seats,seat
crowds,crowd
chairs,chair
rows,row
bells,bell
bears,bear
huskies,husky
brooks,brook
photos,photo
pictures,picture
memories,memory
songs,song
pages,page
records,record
potions,potion
herbs,herb
mixtures,mixture
drinks,drink
hops,hop
rocks,rock
equations,equation
symbols,symbol
variables,variable
equals,equal
eyes,eye
mar,mars
foreigners,foreigner
immigrants,immigrant
illegals,illegal
mexicans,mexican
planets,planet
strangers,stranger
tires,tire
braces,brace
twins,twin
peas,pea
hives,hive
bees,bee
peanuts,peanut
allergies,allergy
allergens,allergen
nuts,nut
rashes,rash
shots,shot
sniffles,sniffle
tissues,tissue
countries,country
partners,partner
nations,nation
scales,scale
chores,chore
laws,law
wheels,wheel
bras,brass
metals,metal
cloves,clove
spices,spice
farmers,farmer
farmer's,farmer
dates,date
maps,map
predictions,prediction
witches,witch
almonds,almond
cashews,cashew
cakes,cake
pecans,pecan
vitamins,vitamin
walnuts,walnut
comes,come
characters,character
consonants,consonant
sounds,sound
vowels,vowel
alps,alp
skis,ski
offerings,offering
pins,pin
options,option
besides,beside
sometimes,sometime
opera,opus
cans,can
chipmunks,chipmunk
yours,your
followers,follower
possessions,possession
dramatics,dramatic
skills,skill
fossils,fossil
waves,wave
dinosaurs,dinosaur
insects,insect
surroundings,surrounding
candles,candle
dreams,dream
sirens,siren
paramedics,paramedic
cowboys,cowboy
guns,gun
indians,indian
amendments,amendment
states,state
americans,american
natives,native
canadians,canadian
citizens,citizen
europeans,european
hamburgers,hamburger
south americans,south american
tourists,tourist
yanks,yank
building blocks,building block
proteins,protein
bullets,bullet
weapons,weapon
shells,shell
supplies,supply
arms,arm
rifles,rifle
cells,cell
dollars,dollar
watts,watt
breasts,breast
bosoms,bosom
rides,ride
puzzles,puzzle
word games,word game
ass,as
results,result
details,detail
economics,economic
patterns,pattern
sons,son
organs,organ
bodies,body
parts,part
limbs,limb
forefathers,forefather
relatives,relative
ancestors,ancestor
forebears,forebear
predecessors,predecessor
descendants,descendant
antecedents,antecedent
elders,elder
genetics,genetic
ancients,ancient
cavemen,caveman
old people,old person
settlers,settler
roots,root
sardines,sardine
ruins,ruin
os,o
angels,angel
demons,demon
devils,devil
harps,harp
trumpets,trumpet
angles,angle
triangles,triangle
corners,corner
perspectives,perspective
buildings,building
edges,edge
fishes,fish
manipulates,manipulate
saxons,saxon
viewpoints,viewpoint
birds,bird
tears,tear
mammals,mammal
creatures,creature
beasts,beast
minerals,mineral
critters,critter
pigs,pig
cartoons,cartoon
drawings,drawing
simpsons,simpson
comics,comic
socks,sock
toes,to
nazis,nazi
flies,fly
seasons,season
alcoholics,alcoholic
hackers,hacker
models,model
bites,bite
answers,answer
questions,question
replies,reply
responds,respond
knows,know
solutions,solution
conclusions,conclusion
tests,test
legs,leg
millions,million
penguins,penguin
glaciers,glacier
horns,horn
antlers,antler
plains,plain
bugs,bug
pests,pest
tunnels,tunnel
humans,human
microbes,microbe
antibiotics,antibiotic
germs,germ
pharmaceuticals,pharmaceutical
tablets,tablet
antiques,antique
collectibles,collectible
relics,relic
shops,shop
stores,store
wipes,wipe
wounds,wound
branches,branch
hills,hill
picnics,picnic
termites,termite
hemorrhoids,hemorrhoid
tongs,tong
butterflies,butterfly
cares,care
goes,go
objects,object
anyways,anyway
places,place
feathers,feather
worlds,world
slaves,slave
neighbors,neighbor
apartments,apartment
flats,flat
condos,condo
homes,home
rooms,room
dwellings,dwelling
blocks,block
boxes,box
divisions,division
houses,house
roommates,roommate
stairs,stair
monkeys,monkey
gorillas,gorilla
primates,primate
chimps,chimp
copies,copy
mimics,mimic
baboons,baboon
chimpanzees,chimpanzee
imitates,imitate
bananas,banana
grapes,grape
oysters,oyster
clams,clam
horsemen,horseman
zombies,zombie
mayans,mayan
revelations,revelation
amends,amend
apologies,apology
cloths,cloth
seems,seem
appears,appear
impressions,impression
notes,note
fries,fry
nachos,nacho
toothpicks,toothpick
hands,hand
pears,pear
judges,judge
asses,assess
gifts,gift
handcuffs,handcuff
trades,trade
fits,fit
showers,shower
fools,fool
strings,string
ruffles,ruffle
smarts,smart
bubbles,bubble
otters,otter
sharks,shark
robes,robe
numerals,numeral
nights,night
webs,web
coins,coin
tokens,token
digs,dig
artifacts,artifact
findings,finding
pyramids,pyramid
arrows,arrow
bows,bow
targets,target
blueprints,blueprint
arches,arch
blue prints,blueprint
plans,plan
bridges,bridge
documents,document
polar bears,polar bear
sides,side
concerts,concert
gladiators,gladiator
romans,roman
discus,discuss
lovers,lover
relationships,relationship
kings,king
